epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.895,4.15469,4.1691,1.96398,0.55092,0.05896,0.01731,0.00589,2.37017,3.6115,1.10905,0.00011432,0.00011432,0.00011432
2,185.074,2.84747,2.99111,1.28411,0.21372,0.32422,0.19494,0.09966,2.09614,16.5932,1.01844,0.000240525,0.000240525,0.000240525
3,269.102,2.31592,2.06323,1.10931,0.3192,0.48191,0.30552,0.16317,2.00034,2.4584,1.02287,0.000364184,0.000364184,0.000364184
4,387.205,2.19805,1.72142,1.06524,0.41645,0.37175,0.34468,0.14299,2.35036,2.09656,1.04121,0.000485296,0.000485296,0.000485296
5,512.253,2.19865,1.56069,1.03543,0.41332,0.40174,0.34984,0.15043,2.12399,3.84239,1.01811,0.000603861,0.000603861,0.000603861
6,645.572,2.14249,1.4768,1.04447,0.55194,0.44693,0.43369,0.19087,2.10719,3.08082,1.07152,0.00071988,0.00071988,0.00071988
7,791.692,2.03385,1.4007,1.00492,0.581,0.3895,0.39115,0.17184,2.27893,2.13183,1.03657,0.000833353,0.000833353,0.000833353
8,932.923,2.0488,1.37609,1.0164,0.61311,0.53994,0.54963,0.25299,1.98003,1.7552,1.06382,0.000944279,0.000944279,0.000944279
9,1057.33,2.05417,1.37332,1.01126,0.07919,0.20401,0.04397,0.01925,2.56234,981.008,1.54619,0.00105266,0.00105266,0.00105266
10,1193.34,2.11553,1.39752,1.0184,0.61666,0.28816,0.28331,0.11305,2.16712,3.07305,1.10023,0.00115849,0.00115849,0.00115849
11,1306.63,2.06939,1.40457,1.00338,0.50343,0.39717,0.4148,0.19588,2.11035,2.66449,1.09812,0.00126178,0.00126178,0.00126178
12,1371.88,2.07107,1.40502,0.99786,0.59048,0.51628,0.55833,0.26564,1.98058,1.61175,1.04827,0.00127338,0.00127338,0.00127338
13,1437.47,2.0516,1.35261,1.00012,0.66492,0.59135,0.61083,0.28707,1.88411,1.46319,1.00139,0.00125923,0.00125923,0.00125923
14,1512.35,2.02142,1.32602,1.00037,0.59899,0.59657,0.60216,0.28964,1.89402,1.28661,0.99888,0.00124509,0.00124509,0.00124509
15,1603.4,1.97171,1.30923,0.98588,0.65188,0.5861,0.59746,0.30342,1.87534,1.31378,1.00181,0.00123094,0.00123094,0.00123094
